batch_size,scape_aggregate_proof_ms,xauth_6_proof_ms,ssl_xiomt_proof_ms,scheme_30_proof_ms
189,757.3226964004702,16953300.0,1311.66,3910.4466660000003
190,757.3470175454463,17043000.0,1318.6000000000001,3931.1368600000005
191,757.3713386904224,17132700.0,1325.54,3951.8270540000003
192,757.3956598353984,17222400.0,1332.48,3972.517248
193,757.4199809803745,17312100.0,1339.42,3993.2074420000004
194,757.4443021253504,17401800.0,1346.3600000000001,4013.897636
195,757.4686232703265,17491500.0,1353.3000000000002,4034.5878300000004
196,757.4929444153025,17581200.0,1360.24,4055.278024
197,757.5172655602786,17670900.0,1367.18,4075.9682180000004
198,757.5415867052546,17760600.0,1374.1200000000001,4096.658412000001
199,757.5659078502306,17850300.0,1381.0600000000002,4117.3486060000005
200,757.5902289952066,17940000.0,1388.0,4138.0388
