timestamp,scheme,file_size_mb,operation,n_leaves,n_runs,mean_ms,std_ms,median_ms,min_ms,max_ms
2026-04-24T07:37:24.577197+00:00,scape_zk,1,merkle_verify,16,12,0.002396,3.2e-05,0.002395,0.002345,0.002475
2026-04-24T07:37:24.577197+00:00,xauth,1,total,16,12,0.70683,0.016734,0.708041,0.687441,0.734821
2026-04-24T07:37:24.577197+00:00,ssl_xiomt,1,total,16,12,0.714837,0.014572,0.718199,0.69202,0.736875
2026-04-24T07:37:24.577197+00:00,scape_zk,1,total,16,12,0.002845,7.5e-05,0.002825,0.002755,0.002995
2026-04-24T07:37:24.577197+00:00,xauth,5,payload_hash,16,12,2.53647,0.017771,2.540075,2.505609,2.564551
2026-04-24T07:37:24.577197+00:00,ssl_xiomt,5,payload_hash,16,12,2.53647,0.017771,2.540075,2.505609,2.564551
2026-04-24T07:37:24.577197+00:00,xauth,5,compare_hash,16,12,2.599896,0.042777,2.603296,2.519987,2.661616
2026-04-24T07:37:24.577197+00:00,ssl_xiomt,5,commit_hash,16,12,2.750067,0.096714,2.75198,2.649473,2.972299
2026-04-24T07:37:24.577197+00:00,scape_zk,5,compact_leaf_hash,16,12,0.000603,4.2e-05,0.000591,0.000561,0.000691
2026-04-24T07:37:24.577197+00:00,ssl_xiomt,5,merkle_verify,16,12,0.002618,2.7e-05,0.002625,0.002565,0.002655
2026-04-24T07:37:24.577197+00:00,scape_zk,5,merkle_verify,16,12,0.005877,0.010658,0.002866,0.002575,0.039715
2026-04-24T07:37:24.577197+00:00,xauth,5,total,16,12,2.538258,0.037714,2.541718,2.488897,2.607543
2026-04-24T07:37:24.577197+00:00,ssl_xiomt,5,total,16,12,2.539158,0.033076,2.53282,2.493666,2.613645
2026-04-24T07:37:24.577197+00:00,scape_zk,5,total,16,12,0.00205,2.7e-05,0.002054,0.002004,0.002084
2026-04-24T07:37:24.577197+00:00,xauth,10,payload_hash,16,12,5.600271,0.347874,5.543273,5.199417,6.473683
2026-04-24T07:37:24.577197+00:00,ssl_xiomt,10,payload_hash,16,12,5.600271,0.347874,5.543273,5.199417,6.473683
2026-04-24T07:37:24.577197+00:00,xauth,10,compare_hash,16,12,5.357647,0.120169,5.357738,5.211259,5.56813
2026-04-24T07:37:24.577197+00:00,ssl_xiomt,10,commit_hash,16,12,5.419839,0.231137,5.349473,5.198265,6.01854
2026-04-24T07:37:24.577197+00:00,scape_zk,10,compact_leaf_hash,16,12,0.000414,3e-05,0.000421,0.000381,0.000471
2026-04-24T07:37:24.577197+00:00,ssl_xiomt,10,merkle_verify,16,12,0.001743,4.2e-05,0.001734,0.001693,0.001824
2026-04-24T07:37:24.577197+00:00,scape_zk,10,merkle_verify,16,12,0.001744,3.7e-05,0.001734,0.001703,0.001813
2026-04-24T07:37:24.577197+00:00,xauth,10,total,16,12,5.34782,0.097654,5.337229,5.190139,5.553853
2026-04-24T07:37:24.577197+00:00,ssl_xiomt,10,total,16,12,5.925114,0.219132,5.855948,5.738154,6.395237
2026-04-24T07:37:24.577197+00:00,scape_zk,10,total,16,12,0.002093,3.6e-05,0.002084,0.002054,0.002164
2026-04-24T07:37:24.577197+00:00,xauth,20,payload_hash,16,12,11.943953,0.253944,11.889627,11.560389,12.306051
2026-04-24T07:37:24.577197+00:00,ssl_xiomt,20,payload_hash,16,12,11.943953,0.253944,11.889627,11.560389,12.306051
2026-04-24T07:37:24.577197+00:00,xauth,20,compare_hash,16,12,12.518078,0.489082,12.427262,11.768456,13.840608
2026-04-24T07:37:24.577197+00:00,ssl_xiomt,20,commit_hash,16,12,12.208186,0.312136,12.337711,11.595817,12.563682
2026-04-24T07:37:24.577197+00:00,scape_zk,20,compact_leaf_hash,16,12,0.000404,1.4e-05,0.000401,0.000391,0.000431
2026-04-24T07:37:24.577197+00:00,ssl_xiomt,20,merkle_verify,16,12,0.001798,3.8e-05,0.001783,0.001753,0.001874
2026-04-24T07:37:24.577197+00:00,scape_zk,20,merkle_verify,16,12,0.001782,6e-05,0.001803,0.001713,0.001904
2026-04-24T07:37:24.577197+00:00,xauth,20,total,16,12,11.941835,0.482768,11.925385,11.366509,13.012689
2026-04-24T07:37:24.577197+00:00,ssl_xiomt,20,total,16,12,12.434969,0.239904,12.390662,12.070853,12.807378
2026-04-24T07:37:24.577197+00:00,scape_zk,20,total,16,12,0.002052,4.6e-05,0.002043,0.001993,0.002154
2026-04-24T07:37:24.577197+00:00,xauth,50,payload_hash,16,12,60.374061,1.557084,60.44791,57.792397,62.546904
2026-04-24T07:37:24.577197+00:00,ssl_xiomt,50,payload_hash,16,12,60.374061,1.557084,60.44791,57.792397,62.546904
2026-04-24T07:37:24.577197+00:00,xauth,50,compare_hash,16,12,61.78155,5.480851,59.338785,56.880685,75.358502
2026-04-24T07:37:24.577197+00:00,ssl_xiomt,50,commit_hash,16,12,57.445651,0.356907,57.430804,56.936161,57.981836
2026-04-24T07:37:24.577197+00:00,scape_zk,50,compact_leaf_hash,16,12,0.000411,2.2e-05,0.000401,0.000391,0.000471
2026-04-24T07:37:24.577197+00:00,ssl_xiomt,50,merkle_verify,16,12,0.00176,9.4e-05,0.001753,0.001683,0.002034
2026-04-24T07:37:24.577197+00:00,scape_zk,50,merkle_verify,16,12,0.001721,2.7e-05,0.001713,0.001683,0.001773
